author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
real_estate_agent,Москва,5,7,1,34.6,9000000,1978,18.0,8.0,Северное Измайлово,15-я Парковая,Щёлковская,260115
real_estate_agent,Москва,14,45,1,41.3,12800000,2026,20.0,11.0,Нижегородский,Перовское шоссе,Нижегородская,309927
developer,Москва,10,12,1,34.4,19372498,2026,11.8,11.7,Преображенское,Электрозаводская,Преображенская площадь,563154
real_estate_agent,Москва,4,33,1,42.9,23600000,2023,22.9,15.0,Останкинский,Годовикова,Алексеевская,550116
realtor,Москва,1,16,1,37.7,9450000,1982,21.69483636143783,6.619194839862293,Чертаново Центральное,Варшавское шоссе,Пражская,250663
developer,Москва,2,24,1,32.6,16906360,2027,18.8,5.723759994151479,Сокольники,Гастелло,Сокольники,518600
real_estate_agent,Москва,13,17,1,37.6,11000000,2018,17.6,15.0,Бачуринская,Бачуринская,Бачуринская,292553
real_estate_agent,Москва,9,28,1,34.7,14500000,2023,9.1,14.2,Богородское,Открытое шоссе,Бульвар Рокоссовского,417867
real_estate_agent,Москва,51,75,1,123.0,85000000,2023,69.0,15.0,Пресненский,1-й Красногвардейский проезд,Деловой центр,691056
real_estate_agent,Москва,5,9,1,34.1,10990000,1970,17.1,8.1,Чертаново Центральное,Чертановская,Пражская,322287
developer,Москва,4,28,1,47.4,20443620,2027,17.9,8.322276801312272,Сокольники,Матросская Тишина,Сокольники,431300
developer,Москва,2,16,1,37.5,20328519,2025,13.5,10.7,Сокол,Зорге,Октябрьское поле,542093
real_estate_agent,Москва,5,17,1,50.2,34900000,2024,16.1,16.8,Гагаринский,Ленинский проспект,Ленинский проспект,695219
real_estate_agent,Москва,4,17,1,40.0,9700000,1987,19.0,7.0,Солнцево,Солнцевский проспект,Говорово,242500
real_estate_agent,Москва,40,63,1,51.0,57600000,2023,45.0,8.954348457108141,Пресненский,1-й Красногвардейский проезд,Москва-Сити,1129411
unknown,Москва,2,10,1,36.0,9870000,2021,20.7165546156966,12.0,Филатов Луг,Золотошвейная,Филатов Луг,274166
developer,Москва,33,34,1,47.8,21433520,2028,11.5,8.39250698528959,Левобережный,Ленинградское шоссе,Беломорская,448400
real_estate_agent,Москва,14,16,1,34.6,14400000,1978,19.5,10.0,Хорошевский,Поликарпова,Беговая,416184
developer,Москва,1,3,1,39.6,6930000,2023,22.78821007726626,6.952788213754556,Апрелевка,Генерала Донскова,Апрелевка,175000
realtor,Москва,14,14,1,40.0,7380000,2009,17.0,8.5,Южное Бутово,Брусилова,Щербинка,184500
developer,Москва,1,3,1,45.9,7435800,2023,26.413607135013162,8.058913611397326,Апрелевка,Генерала Донскова,Апрелевка,162000
real_estate_agent,Москва,2,16,1,29.54,7579616,2026,16.99908398187993,5.186499086724989,поселок Газопровод,Лесные Поляны 5-я,Корниловская,256588
real_estate_agent,Москва,2,16,1,30.1,7570373,2026,17.321341498124102,5.284821344293237,поселок Газопровод,Лесные Поляны 5-я,Корниловская,251507
real_estate_agent,Москва,13,16,1,27.38,7532645,2026,15.756090704938135,4.807256093247468,поселок Газопровод,Лесные Поляны 5-я,Корниловская,275114
developer,Москва,8,9,1,57.6,117936000,2023,33.14648738511456,10.1131464927339,Тверской,1-я Тверская-Ямская,Маяковская,2047500
real_estate_agent,Москва,9,40,1,41.5,32000000,2023,23.4,4.9,Хорошевский,Ленинградский проспект,ЦСКА,771084
real_estate_agent,Москва,13,41,1,41.5,31000000,2023,23.4,4.9,Хорошевский,Ленинградский проспект,Аэропорт,746987
developer,Москва,2,27,1,45.7,21798900,2026,26.8,7.8,Басманный,Фридриха Энгельса,Бауманская,476999
real_estate_agent,Москва,3,20,1,59.0,61800000,2023,39.0,15.0,Пресненский,Костикова,Улица 1905 года,1047457
homeowner,Москва,10,10,1,38.5,11280000,1994,20.7,8.4,Выхино-Жулебино,Жулебинский бульвар,Лермонтовский проспект,292987
developer,Москва,5,21,1,65.9,82172522,2023,18.8,24.9,Пресненский,Костикова,Улица 1905 года,1246927
real_estate_agent,Москва,75,95,1,57.0,47000000,2017,37.0,10.0,Пресненский,набережная Пресненская,Деловой центр,824561
realtor,Москва,21,30,1,36.5,13000000,2024,9.7,19.2,Южнопортовый,Волгоградский проспект,Угрешская,356164
realtor,Москва,4,6,1,59.35,101785250,2024,48.9,10.42040354763467,Мещанский,Кузнецкий Мост,Кузнецкий мост,1715000
real_estate_agent,Москва,1,10,1,31.0,14500000,2023,20.0,6.0,Раменки,Мичуринский проспект,Ломоносовский проспект,467741
developer,Москва,2,16,1,45.0,23274675,2024,16.4,14.6,Филевский парк,Береговой проезд,Фили,517215
homeowner,Москва,10,22,1,38.2,12600000,2005,19.0,10.0,Солнцево,Производственная,Солнцево,329842
real_estate_agent,Москва,7,20,1,43.09,20252300,2024,10.6,18.7,Даниловский,Автозаводская,Тульская,469999
realtor,Москва,15,28,1,40.0,30500000,2022,16.0,18.0,Раменки,Винницкая,Раменки,762500
real_estate_agent,Москва,2,44,1,48.1,25000000,2018,30.0,3.0,Пресненский,Ходынская,Улица 1905 года,519750
real_estate_agent,Москва,4,26,1,46.0,34000000,2021,26.471153120056766,8.076471157391657,Очаково-Матвеевское,Нежинская,Давыдково,739130
real_estate_agent,Москва,3,17,1,35.4,14990000,2022,24.0,9.0,Потапово,Эдварда Грига,Потапово,423446
real_estate_agent,Москва,13,41,1,43.0,23900000,2023,21.0,17.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,555813
realtor,Москва,2,12,1,38.7,15000000,1985,20.7,8.3,Раменки,Улофа Пальме,Минская,387596
real_estate_agent,Москва,18,22,1,43.0,19200000,2022,22.0,12.0,Щукино,Большой Волоколамский проезд,Стрешнево,446511
real_estate_agent,Москва,18,22,1,43.0,19500000,2022,24.0,14.0,Щукино,Большой Волоколамский проезд,Стрешнево,453488
developer,Москва,2,44,1,31.61,14381127,2027,9.4,5.549940288807614,Кунцево,48-й кв-л,Кунцевская,454954
real_estate_agent,Москва,4,5,1,14.4,3450000,1930,10.0,4.0,Перово,2-я Энтузиастов,Авиамоторная,239583
developer,Москва,2,6,1,48.3,95634000,2026,27.794710776059603,8.48029471526124,Якиманка,Софийская набережная,Новокузнецкая,1980000
official_representative,Москва,1,9,1,37.7,7700000,1966,19.0,6.0,Гольяново,Щелковское шоссе,Черкизовская,204244
developer,Москва,4,6,1,50.2,57228000,2024,12.3,23.9,Замоскворечье,Космодамианская набережная,Новокузнецкая,1140000
realtor,Москва,3,5,1,30.0,8390000,2021,17.2637955130805,8.0,Филатов Луг,Жемчужная,Филатов Луг,279666
real_estate_agent,Москва,11,12,1,34.8,9350000,1966,19.9,9.7,Северное Измайлово,Щелковское шоссе,Щёлковская,268678
realtor,Москва,2,9,1,31.8,11990000,1962,21.5,5.2,Кунцево,Ельнинская,Молодёжная,377044
developer,Москва,7,35,1,39.22,18847239,2027,24.1,6.3,Котловка,31/2,Профсоюзная,480551
real_estate_agent,Москва,4,6,1,35.1,23000000,1902,20.198640750304186,6.162698644009721,Басманный,Покровка,Курская,655270
developer,Москва,15,67,1,47.5,47500000,2025,34.5,8.0,Пресненский,Краснопресненская набережная,Москва-Сити,1000000
homeowner,Москва,15,17,1,37.8,9000000,2015,19.0,7.2,Рассказовка,Бианки,Рассказовка,238095
developer,Москва,3,7,1,78.45,196125000,2026,19.1,29.7,Арбат,Крестовоздвиженский переулок,Арбатская,2500000
real_estate_agent,Москва,16,17,1,30.5,6100000,2022,12.3,7.0,Ватутинки,Яворки,Ватутинки,200000
unknown,Москва,22,32,1,37.35,17780000,2023,21.49342541378522,10.0,Нижегородский,Газгольдерная,Нижегородская,476037
realtor,Москва,5,12,1,33.5,14500000,1964,17.0,4.0,Беговой,Ленинградский проспект,Динамо,432835
realtor,Москва,8,22,1,40.0,13290000,2000,23.018394017440666,10.0,Марьино,Верхние Поля,Люблино,332250
realtor,Москва,14,25,1,39.0,19480000,2023,13.0,15.0,Щукино,Ротмистрова,Октябрьское поле,499487
developer,Москва,6,41,1,36.7,22431040,2027,14.2,13.4,Даниловский,Большая Тульская,Тульская,611200
real_estate_agent,Москва,10,19,1,60.0,27500000,2023,25.0,18.0,Хорошево-Мневники,проспект Маршала Жукова,Народное Ополчение,458333
real_estate_agent,Москва,10,34,1,64.4,51000000,2023,41.7,10.0,Дорогомилово,Поклонная,Поклонная,791925
developer,Москва,2,15,1,30.8,26977720,2027,17.724163393429315,5.407724166253544,Даниловский,Серпуховский Вал,Тульская,875900
real_estate_agent,Москва,21,24,1,40.8,30000000,2022,25.8,10.0,Хорошевский,Хорошевское шоссе,Полежаевская,735294
real_estate_agent,Москва,24,49,1,43.9,27800000,2021,17.2,18.0,Раменки,Лобачевского,Аминьевская,633257
developer,Москва,23,26,1,35.67,21910000,2024,11.0,15.8,Марфино,Академика Королева,Бутырская,614241
real_estate_agent,Москва,33,41,1,46.0,21000000,2024,18.0,23.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,456521
real_estate_agent,Москва,7,48,1,55.5,33000000,2024,27.0,7.7,Ростокино,Вильгельма Пика,Ботанический сад,594594
developer,Москва,3,36,1,36.7,30916850,2027,21.119376511001814,6.443619379918996,Беговой,Ленинградский проспект,Белорусская,842420
homeowner,Москва,5,10,1,40.4,28900000,2023,21.5,8.2,Дорогомилово,Кутузовский проспект,Кутузовская,715346
real_estate_agent,Москва,31,36,1,49.3,24990000,2019,25.3,19.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,506896
developer,Москва,3,27,1,32.07,22210238,2027,18.1,5.630705000381531,Пресненский,Пресненский Вал,Белорусская,692554
real_estate_agent,Москва,3,5,1,31.0,18500000,1958,17.839255363516518,5.442839258242203,Пресненский,Юлиуса Фучика,Маяковская,596774
real_estate_agent,Москва,5,24,1,39.1,19800000,2005,22.50048015204825,12.0,Фили-Давыдково,Герасима Курина,Славянский бульвар,506393
developer,Москва,49,66,1,44.6,44154000,2020,25.665509329446344,7.830665513471041,Пресненский,1-й Красногвардейский проезд,Москва-Сити,990000
homeowner,Москва,3,17,1,38.0,13900000,2006,19.0,7.3,Свиблово,Вересковая,Свиблово,365789
real_estate_agent,Москва,12,28,1,45.2,20500000,2024,13.7,16.0,Даниловский,Автозаводская,ЗИЛ,453539
real_estate_agent,Москва,4,6,1,31.4,28500000,2023,15.0,6.3,Хамовники,Зубовская,Парк Культуры,907643
real_estate_agent,Москва,18,35,1,48.5,21700000,2022,25.5,18.0,Раменки,Лобачевского,Аминьевская,447422
developer,Москва,7,13,1,58.8,37642247,2024,45.1,8.7,Даниловский,Даниловский Вал,Тульская,640174
real_estate_agent,Москва,5,21,1,48.4,21250000,2024,15.8,15.5,Щукино,Щукинская,Щукинская,439049
real_estate_agent,Москва,21,22,1,39.0,11300000,1985,19.1,10.0,Братеево,Алма-Атинская,Алма-Атинская,289743
real_estate_agent,Москва,3,14,1,43.5,12000000,1989,20.0,9.0,Марьино,Перерва,Марьино,275862
real_estate_agent,Москва,2,9,1,32.9,8900000,1971,21.0,6.0,Богородское,Краснобогатырская,Преображенская площадь,270516
developer,Москва,6,13,1,85.04,130383328,2025,45.8,15.8,Мещанский,Садовая-Сухаревская,Цветной бульвар,1533200
real_estate_agent,Москва,4,13,1,43.6,37500000,2023,14.0,16.8,Пресненский,Сергея Макеева,Улица 1905 года,860091
real_estate_agent,Москва,15,15,1,40.6,11890000,2018,20.0,10.0,Прокшино,бульвар Веласкеса,Прокшино,292857
developer,Москва,2,22,1,31.4,17903652,2025,18.069439303690924,5.513069442219521,Марьина роща,Полковая,Савёловская,570180
real_estate_agent,Москва,4,7,1,33.56,5600000,2024,12.5,10.5,Рассказовка,Луговая,Рассказовка,166865
developer,Москва,15,22,1,37.5,22758750,2025,14.1,12.9,Хорошево-Мневники,Жилой комплекс остров,Мнёвники,606900
realtor,Москва,2,9,1,32.2,8100000,1970,20.0,6.0,Чертаново Центральное,Днепропетровская,Южная,251552
developer,Москва,6,50,1,49.3,25621210,2027,14.1,17.9,Раменки,м. Мичуринский проспект,Мичуринский проспект,519700
developer,Москва,2,11,1,32.6,7731089,2027,9.5,5.723759994151479,Крюково,Зеленоград,Зеленоград — Крюково,237149
real_estate_agent,Москва,2,2,1,15.1,8300000,1900,8.1,2.0,Басманный,Гороховский переулок,Курская,549668
developer,Москва,6,28,1,37.9,8318291,2027,9.2,14.0,Крюково,Зеленоград,Зеленоград — Крюково,219479
developer,Москва,1,8,1,34.2,8379000,2024,10.7,15.7,Бибирево,Корнейчука,Алтуфьево,244999
developer,Москва,6,14,1,34.8,8509643,2026,11.4,14.8,Тимирязевский,к3.5,Окружная,244529
developer,Москва,2,28,1,40.8,8696764,2027,9.1,16.6,Крюково,Зеленоград,Зеленоград — Крюково,213155
real_estate_agent,Москва,2,16,1,36.5,8805089,2026,21.004284540914608,6.408504287930336,поселок Газопровод,Лесные Поляны 5-я,Корниловская,241235
developer,Москва,2,23,1,28.1,9198001,2026,21.1,2.0,Отрадное,Сигнальный проезд,Владыкино,327330
developer,Москва,6,28,1,30.6,9210600,2025,17.60907142334211,10.2,Отрадное,Отрадная,Отрадное,301000
homeowner,Москва,8,9,1,56.0,9200000,2018,20.1,23.0,Крёкшино,Семена Гордого,Крёкшино,164285
developer,Москва,3,23,1,36.6,9302951,2026,14.0,12.6,Отрадное,Сигнальный проезд,Владыкино,254178
developer,Москва,4,23,1,29.3,9305651,2026,14.1,3.6,Отрадное,Сигнальный проезд,Владыкино,317599
developer,Москва,2,25,1,38.9,9326430,2026,9.0,16.5,Крюково,Зеленоград,Зеленоград — Крюково,239753
developer,Москва,14,14,1,41.0,9258414,2024,10.5,22.5,Филатов Луг,Усадебный Парк,Филатов Луг,225814
developer,Москва,5,23,1,34.7,9626370,2026,22.3,3.6,Отрадное,Сигнальный проезд,Владыкино,277417
unknown,Москва,9,10,1,38.3,9700000,2007,17.9,8.7,Южное Бутово,Остафьевская,Бунинская аллея,253263
realtor,Москва,16,16,1,38.5,9800000,1978,19.7,9.6,Теплый Стан,Генерала Тюленева,Генерала Тюленева,254545
real_estate_agent,Москва,12,12,1,38.9,9890000,1981,20.9,8.6,Бибирево,Плещеева,Бибирево,254241
realtor,Москва,9,14,1,41.5,9850000,1973,20.0,10.0,Печатники,Шоссейная,Люблино,237349
developer,Москва,18,24,1,34.4,10045487,2026,10.9,16.0,Западное Дегунино,проезд Проектируемый № 7536,Речной вокзал,292019
real_estate_agent,Москва,16,18,1,31.5,10174500,2023,18.126985288734524,5.530626988213852,Останкинский,Березовая аллея,Ботанический сад,323000
developer,Москва,14,14,1,37.3,10197820,2024,11.4,13.9,Кедровая,3-я Нововатутинская,Кедровая,273400
developer,Москва,19,19,1,34.2,10231990,2025,10.1,16.0,Митино,Северо-Западный ао,Пятницкое шоссе,299180
homeowner,Москва,5,9,1,33.0,10400000,1964,21.3,6.0,Кузьминки,Зеленодольская,Кузьминки,315151
developer,Москва,7,28,1,34.5,10453500,2025,19.853364840042573,10.6,Отрадное,Отрадная,Отрадное,303000
developer,Москва,4,24,1,34.7,10536897,2027,23.5,5.3,Солнцево,Производственная,Солнцево,303656
real_estate_agent,Москва,25,25,1,41.3,10896151,2022,23.766491823007488,7.25126649565816,Некрасовка,Липчанского,Некрасовка,263829
developer,Москва,14,33,1,40.9,11045535,2025,16.4,16.3,Люблино,14.5,Братиславская,270061
real_estate_agent,Москва,12,17,1,38.8,11100000,1987,20.0,8.5,Новокосино,Городецкая,Новокосино,286082
real_estate_agent,Москва,11,12,1,33.5,8000000,1972,17.0,7.0,Чертаново Южное,3-й Дорожный проезд,Улица Академика Янгеля,238805
real_estate_agent,Москва,9,14,1,38.5,7000000,1993,18.0,8.0,Крюково,Зеленоград,Зеленоград — Крюково,181818
real_estate_agent,Москва,1,5,1,31.3,8400000,1966,17.0,6.6,Перово,Новогиреевская,Перово,268370
real_estate_agent,Москва,5,5,1,25.7,7515745,2023,14.789318156205628,6.0,Соколиная гора,Медовый переулок,Электрозаводская,292441
real_estate_agent,Москва,6,9,1,33.0,9750000,2023,19.0,7.0,Ясенево,Голубинская,Тёплый Стан,295454
realtor,Москва,6,9,1,36.0,9200000,1975,20.7165546156966,7.0,Орехово-Борисово Южное,Ореховый бульвар,Домодедовская,255555
developer,Москва,2,46,1,42.5,30249760,2026,28.5,4.1,Дорогомилово,Кутузовский проезд,Фили,711759
developer,Москва,8,16,1,37.8,18192215,2027,32.8,6.636752385856622,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,481275
real_estate_agent,Москва,22,22,1,15.8,7890000,1980,11.0,3.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,499367
real_estate_agent,Москва,3,17,1,38.7,13400000,2001,19.0,8.0,Северное Медведково,Полярная,Медведково,346253
developer,Москва,8,44,1,40.75,21801250,2024,23.44998890526768,7.1546999926893475,Марьина роща,4-я Марьиной рощи,Марьина Роща,535000
real_estate_agent,Москва,22,22,1,14.3,8280000,1980,6.3,3.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,579020
real_estate_agent,Москва,17,25,1,50.0,19500000,2005,25.0,17.0,Хорошево-Мневники,бульвар Генерала Карбышева,Бульвар Генерала Карбышева,390000
real_estate_agent,Москва,22,22,1,16.0,8880000,1980,8.0,3.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,555000
real_estate_agent,Москва,3,33,1,37.6,15000000,2023,11.6,18.3,Очаково-Матвеевское,Очаковское шоссе,Аминьевская,398936
real_estate_agent,Москва,7,17,1,37.9,11700000,1991,18.9,8.4,Марьино,Люблинская,Марьино,308707
developer,Москва,26,28,1,41.65,22378095,2025,23.967902770660093,7.312717906638315,Нагатино-Садовники,Нагатинская,Нагатинская,537289
developer,Москва,11,29,1,30.1,12837650,2025,10.5,11.5,Черемушки,Наметкина,Новые Черёмушки,426500
real_estate_agent,Москва,4,20,1,76.13,32164925,2024,27.7,21.3,Даниловский,Автозаводская,Тульская,422500
realtor,Москва,6,9,1,33.0,11000000,1970,17.0,8.0,Коньково,Академика Волгина,Университет Дружбы Народов,333333
developer,Москва,11,47,1,41.11,19496106,2027,13.8,14.9,Бутырский,Огородный проезд,Бутырская,474242
real_estate_agent,Химки,18,25,1,41.9,8490000,2009,18.0,10.0,Химки,Молодежная,Молжаниново,202625
real_estate_agent,Химки,3,17,1,30.0,7800000,2020,15.0,8.7,Химки,Имени К.И. Вороницына,Химки,260000
real_estate_agent,Химки,11,25,1,41.84,8450000,2009,17.7,10.4,Химки,Горшина,Химки,201959
real_estate_agent,Химки,15,25,1,41.5,8500000,2023,17.6,10.0,Химки,Горшина,Химки,204819
real_estate_agent,Химки,6,7,1,56.0,9200000,2017,15.0,19.0,Химки,Береговая,Химки,164285
real_estate_agent,Химки,3,17,1,41.6,8500000,2011,20.6,11.0,Химки,Чернышевского,Химки,204326
realtor,Химки,13,18,1,37.0,7500000,2016,20.0,8.0,Химки,проезд Транспортный,Химки,202702
real_estate_agent,Химки,14,25,1,45.0,8700000,2008,17.7,10.4,Химки,Молодежная,Молжаниново,193333
realtor,Химки,24,25,1,41.6,8700000,2016,14.4,12.0,Химки,Родионова,Молжаниново,209134
realtor,Химки,24,25,1,41.7,8650000,2014,18.0,10.0,Химки,Совхозная,Левобережная,207434
real_estate_agent,Химки,5,27,1,45.8,11000000,2016,18.2,17.9,Химки,Молодежная,Молжаниново,240174
real_estate_agent,Химки,17,25,1,42.0,8700000,2007,18.0,10.0,Химки,Панфилова,Химки,207142
real_estate_agent,Химки,7,17,1,36.0,9300000,2006,17.0,9.5,Химки,проспект Мельникова,Молжаниново,258333
real_estate_agent,Химки,17,25,1,41.8,8650000,2023,18.0,10.4,Химки,Совхозная,Левобережная,206937
real_estate_agent,Химки,1,18,1,44.7,9500000,2016,25.723055314489947,13.0,Химки,9 Мая,Химки,212527
realtor,Химки,6,10,1,35.0,8866000,2017,16.0,8.5,Химки,Германа Титова,Химки,253314
real_estate_agent,Химки,17,25,1,42.2,8800000,2007,17.8,10.0,Химки,Горшина,Химки,208530
real_estate_agent,Химки,3,27,1,45.6,10900000,2016,18.1,17.7,Химки,Молодежная,Молжаниново,239035
