author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
3,24,5,7,1,34.6,9000000,1978,18.0,8.0,143,38,332,260115
3,24,14,45,1,41.3,12800000,2026,20.0,11.0,105,887,168,309927
0,24,10,12,1,34.4,19372498,2026,11.8,11.7,124,1240,225,563154
3,24,4,33,1,42.9,23600000,2023,22.9,15.0,116,359,4,550116
4,24,1,16,1,37.7,9450000,1982,21.69483636143783,6.619194839862294,177,274,224,250663
0,24,2,24,1,32.6,16906360,2027,18.8,5.72375999415148,152,333,263,518600
3,24,13,17,1,37.6,11000000,2018,17.6,15.0,10,181,21,292553
3,24,9,28,1,34.7,14500000,2023,9.1,14.2,16,870,37,417867
3,24,51,75,1,123.0,85000000,2023,69.0,15.0,125,7,66,691056
3,24,5,9,1,34.1,10990000,1970,17.1,8.1,177,1203,224,322287
0,24,4,28,1,47.4,20443620,2027,17.9,8.322276801312272,152,722,263,431300
0,24,2,16,1,37.5,20328519,2025,13.5,10.7,150,463,187,542093
3,24,5,17,1,50.2,34900000,2024,16.1,16.8,30,635,129,695219
3,24,4,17,1,40.0,9700000,1987,19.0,7.0,154,1051,60,242500
3,24,40,63,1,51.0,57600000,2023,45.0,8.954348457108143,125,7,157,1129411
6,24,2,10,1,36.0,9870000,2021,20.7165546156966,12.0,165,461,307,274166
0,24,33,34,1,47.8,21433520,2028,11.5,8.392506985289591,76,634,24,448400
3,24,14,16,1,34.6,14400000,1978,19.5,10.0,172,920,22,416184
0,24,1,3,1,39.6,6930000,2023,22.78821007726626,6.952788213754557,3,338,11,175000
4,24,14,14,1,40.0,7380000,2009,17.0,8.5,186,260,330,184500
0,24,1,3,1,45.9,7435800,2023,26.413607135013162,8.058913611397328,3,338,11,162000
3,24,2,16,1,29.54,7579616,2026,16.99908398187993,5.18649908672499,195,640,104,256588
3,24,2,16,1,30.1,7570373,2026,17.321341498124102,5.284821344293237,195,640,104,251507
3,24,13,16,1,27.38,7532645,2026,15.756090704938135,4.807256093247469,195,640,104,275114
0,24,8,9,1,57.6,117936000,2023,33.14648738511456,10.113146492733902,158,29,146,2047500
3,24,9,40,1,41.5,32000000,2023,23.4,4.9,172,633,317,771084
3,24,13,41,1,41.5,31000000,2023,23.4,4.9,172,633,13,746987
0,24,2,27,1,45.7,21798900,2026,26.8,7.8,9,1168,20,476999
3,24,3,20,1,59.0,61800000,2023,39.0,15.0,125,560,294,1047457
1,24,10,10,1,38.5,11280000,1994,20.7,8.4,29,433,130,292987
0,24,5,21,1,65.9,82172522,2023,18.8,24.9,125,560,294,1246927
3,24,75,95,1,57.0,47000000,2017,37.0,10.0,125,1307,66,824561
4,24,21,30,1,36.5,13000000,2024,9.7,19.2,189,309,293,356164
4,24,4,6,1,59.35,101785250,2024,48.9,10.420403547634672,91,602,119,1715000
3,24,1,10,1,31.0,14500000,2023,20.0,6.0,130,747,138,467741
0,24,2,16,1,45.0,23274675,2024,16.4,14.6,166,192,308,517215
1,24,10,22,1,38.2,12600000,2005,19.0,10.0,154,938,264,329842
3,24,7,20,1,43.09,20252300,2024,10.6,18.7,34,117,289,469999
4,24,15,28,1,40.0,30500000,2022,16.0,18.0,130,303,235,762500
3,24,2,44,1,48.1,25000000,2018,30.0,3.0,125,1180,294,519750
3,24,4,26,1,46.0,34000000,2021,26.471153120056766,8.076471157391657,118,791,64,739130
3,24,3,17,1,35.4,14990000,2022,24.0,9.0,123,1238,223,423446
3,24,13,41,1,43.0,23900000,2023,21.0,17.0,171,1222,326,555813
4,24,2,12,1,38.7,15000000,1985,20.7,8.3,130,1141,150,387596
3,24,18,22,1,43.0,19200000,2022,22.0,12.0,182,237,269,446511
3,24,18,22,1,43.0,19500000,2022,24.0,14.0,182,237,269,453488
0,24,2,44,1,31.61,14381127,2027,9.4,5.549940288807615,74,93,121,454954
3,24,4,5,1,14.4,3450000,1930,10.0,4.0,119,61,0,239583
0,24,2,6,1,48.3,95634000,2026,27.794710776059603,8.48029471526124,190,1056,174,1980000
2,24,1,9,1,37.7,7700000,1966,19.0,6.0,33,1235,320,204244
0,24,4,6,1,50.2,57228000,2024,12.3,23.9,46,557,174,1140000
4,24,3,5,1,30.0,8390000,2021,17.2637955130805,8.0,165,426,307,279666
3,24,11,12,1,34.8,9350000,1966,19.9,9.7,143,1235,332,268678
4,24,2,9,1,31.8,11990000,1962,21.5,5.2,74,417,156,377044
0,24,7,35,1,39.22,18847239,2027,24.1,6.3,65,82,230,480551
3,24,4,6,1,35.1,23000000,1902,20.198640750304186,6.162698644009722,9,915,122,655270
0,24,15,67,1,47.5,47500000,2025,34.5,8.0,125,582,157,1000000
1,24,15,17,1,37.8,9000000,2015,19.0,7.2,132,201,237,238095
0,24,3,7,1,78.45,196125000,2026,19.1,29.7,4,588,12,2500000
3,24,16,17,1,30.5,6100000,2022,12.3,7.0,21,1258,44,200000
6,24,22,32,1,37.35,17780000,2023,21.49342541378522,10.0,105,327,168,476037
4,24,5,12,1,33.5,14500000,1964,17.0,4.0,11,633,69,432835
4,24,8,22,1,40.0,13290000,2000,23.018394017440666,10.0,88,290,142,332250
4,24,14,25,1,39.0,19480000,2023,13.0,15.0,182,973,187,499487
0,24,6,41,1,36.7,22431040,2027,14.2,13.4,34,229,289,611200
3,24,10,19,1,60.0,27500000,2023,25.0,18.0,171,1385,164,458333
3,24,10,34,1,64.4,51000000,2023,41.7,10.0,42,914,219,791925
0,24,2,15,1,30.8,26977720,2027,17.724163393429315,5.407724166253545,34,1018,289,875900
3,24,21,24,1,40.8,30000000,2022,25.8,10.0,172,1182,221,735294
3,24,24,49,1,43.9,27800000,2021,17.2,18.0,130,659,7,633257
0,24,23,26,1,35.67,21910000,2024,11.0,15.8,86,132,40,614241
3,24,33,41,1,46.0,21000000,2024,18.0,23.0,171,1222,326,456521
3,24,7,48,1,55.5,33000000,2024,27.0,7.7,134,302,32,594594
0,24,3,36,1,36.7,30916850,2027,21.119376511001814,6.443619379918997,11,633,25,842420
1,24,5,10,1,40.4,28900000,2023,21.5,8.2,42,616,125,715346
3,24,31,36,1,49.3,24990000,2019,25.3,19.0,171,1222,326,506896
0,24,3,27,1,32.07,22210238,2027,18.1,5.630705000381532,125,929,25,692554
3,24,3,5,1,31.0,18500000,1958,17.839255363516518,5.442839258242204,125,1253,146,596774
3,24,5,24,1,39.1,19800000,2005,22.50048015204825,12.0,167,348,259,506393
0,24,49,66,1,44.6,44154000,2020,25.665509329446344,7.830665513471042,125,7,157,990000
1,24,3,17,1,38.0,13900000,2006,19.0,7.3,141,285,249,365789
3,24,12,28,1,45.2,20500000,2024,13.7,16.0,34,117,79,453539
3,24,4,6,1,31.4,28500000,2023,15.0,6.3,168,464,201,907643
3,24,18,35,1,48.5,21700000,2022,25.5,18.0,130,659,7,447422
0,24,7,13,1,58.8,37642247,2024,45.1,8.7,34,384,289,640174
3,24,5,21,1,48.4,21250000,2024,15.8,15.5,182,1237,331,439049
3,24,21,22,1,39.0,11300000,1985,19.1,10.0,17,143,5,289743
3,24,3,14,1,43.5,12000000,1989,20.0,9.0,88,885,144,275862
3,24,2,9,1,32.9,8900000,1971,21.0,6.0,16,573,225,270516
0,24,6,13,1,85.04,130383328,2025,45.8,15.8,91,988,319,1533200
3,24,4,13,1,43.6,37500000,2023,14.0,16.8,125,1015,294,860091
3,24,15,15,1,40.6,11890000,2018,20.0,10.0,126,1274,226,292857
0,24,2,22,1,31.4,17903652,2025,18.069439303690924,5.513069442219522,87,922,245,570180
3,24,4,7,1,33.56,5600000,2024,12.5,10.5,132,668,237,166865
0,24,15,22,1,37.5,22758750,2025,14.1,12.9,171,430,154,606900
4,24,2,9,1,32.2,8100000,1970,20.0,6.0,177,400,336,251552
0,24,6,50,1,49.3,25621210,2027,14.1,17.9,130,1303,153,519700
0,24,2,11,1,32.6,7731089,2027,9.5,5.72375999415148,70,449,81,237149
3,24,2,2,1,15.1,8300000,1900,8.1,2.0,9,368,122,549668
0,24,6,28,1,37.9,8318291,2027,9.2,14.0,70,449,81,219479
0,24,1,8,1,34.2,8379000,2024,10.7,15.7,13,552,6,244999
0,24,6,14,1,34.8,8509643,2026,11.4,14.8,161,1300,184,244529
0,24,2,28,1,40.8,8696764,2027,9.1,16.6,70,449,81,213155
3,24,2,16,1,36.5,8805089,2026,21.004284540914608,6.408504287930337,195,640,104,241235
0,24,2,23,1,28.1,9198001,2026,21.1,2.0,117,1021,48,327330
0,24,6,28,1,30.6,9210600,2025,17.60907142334211,10.2,117,871,195,301000
1,24,8,9,1,56.0,9200000,2018,20.1,23.0,71,1012,118,164285
0,24,3,23,1,36.6,9302951,2026,14.0,12.6,117,1021,48,254178
0,24,4,23,1,29.3,9305651,2026,14.1,3.6,117,1021,48,317599
0,24,2,25,1,38.9,9326430,2026,9.0,16.5,70,449,81,239753
0,24,14,14,1,41.0,9258414,2024,10.5,22.5,165,1144,307,225814
0,24,5,23,1,34.7,9626370,2026,22.3,3.6,117,1021,48,277417
6,24,9,10,1,38.3,9700000,2007,17.9,8.7,186,866,38,253263
4,24,16,16,1,38.5,9800000,1978,19.7,9.6,160,345,59,254545
3,24,12,12,1,38.9,9890000,1981,20.9,8.6,13,901,28,254241
4,24,9,14,1,41.5,9850000,1973,20.0,10.0,120,1233,142,237349
0,24,18,24,1,34.4,10045487,2026,10.9,16.0,47,1353,239,292019
3,24,16,18,1,31.5,10174500,2023,18.126985288734524,5.530626988213853,116,197,32,323000
0,24,14,14,1,37.3,10197820,2024,11.4,13.9,57,78,94,273400
0,24,19,19,1,34.2,10231990,2025,10.1,16.0,93,1009,233,299180
1,24,5,9,1,33.0,10400000,1964,21.3,6.0,73,451,120,315151
0,24,7,28,1,34.5,10453500,2025,19.853364840042573,10.6,117,871,195,303000
0,24,4,24,1,34.7,10536897,2027,23.5,5.3,154,938,264,303656
3,24,25,25,1,41.3,10896151,2022,23.766491823007488,7.251266495658162,104,652,167,263829
0,24,14,33,1,40.9,11045535,2025,16.4,16.3,85,37,33,270061
3,24,12,17,1,38.8,11100000,1987,20.0,8.5,108,366,173,286082
3,24,11,12,1,33.5,8000000,1972,17.0,7.0,178,68,296,238805
3,24,9,14,1,38.5,7000000,1993,18.0,8.0,70,449,81,181818
3,24,1,5,1,31.3,8400000,1966,17.0,6.6,119,816,208,268370
3,24,5,5,1,25.7,7515745,2023,14.789318156205628,6.0,151,728,333,292441
3,24,6,9,1,33.0,9750000,2023,19.0,7.0,192,360,292,295454
4,24,6,9,1,36.0,9200000,1975,20.7165546156966,7.0,114,861,73,255555
0,24,2,46,1,42.5,30249760,2026,28.5,4.1,42,615,308,711759
0,24,8,16,1,37.8,18192215,2027,32.8,6.636752385856623,124,429,225,481275
3,24,22,22,1,15.8,7890000,1980,11.0,3.0,164,635,335,499367
3,24,3,17,1,38.7,13400000,2001,19.0,8.0,144,924,147,346253
0,24,8,44,1,40.75,21801250,2024,23.44998890526768,7.154699992689348,87,87,143,535000
3,24,22,22,1,14.3,8280000,1980,6.3,3.0,164,635,335,579020
3,24,17,25,1,50.0,19500000,2005,25.0,17.0,171,1275,35,390000
3,24,22,22,1,16.0,8880000,1980,8.0,3.0,164,635,335,555000
3,24,3,33,1,37.6,15000000,2023,11.6,18.3,118,873,7,398936
3,24,7,17,1,37.9,11700000,1991,18.9,8.4,88,676,144,308707
0,24,26,28,1,41.65,22378095,2025,23.967902770660093,7.312717906638316,100,776,162,537289
0,24,11,29,1,30.1,12837650,2025,10.5,11.5,175,783,181,426500
3,24,4,20,1,76.13,32164925,2024,27.7,21.3,34,117,289,422500
4,24,6,9,1,33.0,11000000,1970,17.0,8.0,60,126,303,333333
0,24,11,47,1,41.11,19496106,2027,13.8,14.9,20,841,40,474242
3,36,18,25,1,41.9,8490000,2009,18.0,10.0,169,753,155,202625
3,36,3,17,1,30.0,7800000,2020,15.0,8.7,169,484,312,260000
3,36,11,25,1,41.84,8450000,2009,17.7,10.4,169,369,312,201959
3,36,15,25,1,41.5,8500000,2023,17.6,10.0,169,369,312,204819
3,36,6,7,1,56.0,9200000,2017,15.0,19.0,169,191,312,164285
3,36,3,17,1,41.6,8500000,2011,20.6,11.0,169,1201,312,204326
4,36,13,18,1,37.0,7500000,2016,20.0,8.0,169,1359,312,202702
3,36,14,25,1,45.0,8700000,2008,17.7,10.4,169,753,155,193333
4,36,24,25,1,41.6,8700000,2016,14.4,12.0,169,965,155,209134
4,36,24,25,1,41.7,8650000,2014,18.0,10.0,169,1044,128,207434
3,36,5,27,1,45.8,11000000,2016,18.2,17.9,169,753,155,240174
3,36,17,25,1,42.0,8700000,2007,18.0,10.0,169,876,312,207142
3,36,7,17,1,36.0,9300000,2006,17.0,9.5,169,1386,155,258333
3,36,17,25,1,41.8,8650000,2023,18.0,10.4,169,1044,128,206937
3,36,1,18,1,44.7,9500000,2016,25.723055314489947,13.0,169,110,312,212527
4,36,6,10,1,35.0,8866000,2017,16.0,8.5,169,349,312,253314
3,36,17,25,1,42.2,8800000,2007,17.8,10.0,169,369,312,208530
3,36,3,27,1,45.6,10900000,2016,18.1,17.7,169,753,155,239035
3,36,17,25,1,41.9,8800000,2008,17.8,10.4,169,753,155,210023
3,36,10,17,1,39.7,7800000,2012,20.0,9.0,169,630,274,196473
3,36,9,25,1,42.0,8800000,2023,21.0,11.0,169,753,155,209523
4,36,17,17,1,44.7,7700000,2013,19.0,11.8,169,883,274,172259
3,36,22,25,1,42.0,8800000,2009,20.0,10.0,169,369,312,209523
3,36,6,9,1,32.7,7800000,2023,16.0,10.0,169,349,312,238532
