iter	MAE
0	198494.706
1	198083.0737
2	197677.7455
3	197279.7028
4	196888.478
5	196027.0025
6	195332.2523
7	194492.2029
8	194117.6226
9	193660.8611
10	192768.8841
11	192404.7558
12	192046.6731
13	191695.5934
14	190825.7211
15	190223.7811
16	189423.7448
17	188863.237
18	188552.2915
19	187927.4399
20	187603.3557
21	187284.5616
22	186970.2157
23	186660.7322
24	186054.962
25	185752.9115
26	184973.8534
27	184444.4871
28	184152.0962
29	183352.2573
30	183065.9413
31	182324.7539
32	181460.0193
33	181183.5114
34	180578.4457
35	180305.6488
36	180053.7539
37	179525.0348
38	178689.3321
39	177981.3371
40	177312.4542
41	176852.8956
42	176400.465
43	176164.0921
44	175916.9001
45	175254.7502
46	174589.9198
47	173960.6922
48	173352.5434
49	173055.5209
50	172818.6603
51	172603.5664
52	172373.7907
53	171696.5629
54	171474.4976
55	171255.7782
56	170945.6815
57	170198.7542
58	169985.9034
59	169776.5806
60	169570.7006
61	169368.3335
62	168774.7462
63	168469.0906
64	167870.8621
65	167220.8362
66	166667.6104
67	165979.0468
68	165789.8222
69	165571.7447
70	165386.565
71	165150.3246
72	164932.5842
73	164753.5697
74	164577.2674
75	164237.9435
76	163669.5792
77	163033.692
78	162867.586
79	162704.5376
80	162150.2907
81	161991.5261
82	161378.3271
83	161224.0946
84	160831.0999
85	160247.7646
86	160100.2996
87	159839.912
88	159254.1543
89	158697.6978
90	158129.3725
91	157432.9278
92	157277.8071
93	157140.9156
94	156925.009
95	156760.9433
96	156627.7335
97	156213.4524
98	155675.4552
99	155526.7182
100	154917.8068
101	154791.6433
102	154667.4578
103	154545.074
104	154424.4105
105	154231.0587
106	154079.7351
107	153422.2983
108	153038.2179
109	152515.2207
110	152027.9145
111	151914.492
112	151731.2919
113	151270.1989
114	150685.1529
115	150111.6813
116	150005.2801
117	149549.062
118	149012.2111
119	148581.2446
120	148478.5867
121	148349.4399
122	147906.8398
123	147807.7975
124	147699.3919
125	147554.7706
126	147466.1767
127	146926.9763
128	146524.6936
129	146432.7769
130	146314.3499
131	146224.4738
132	146136.1684
133	145805.2101
134	145344.3613
135	145259.029
136	145175.3995
137	144699.8557
138	144307.1776
139	144214.4509
140	143725.0507
141	143645.6716
142	143535.0415
143	142946.8428
144	142844.3465
145	142768.5165
146	142694.1923
147	142238.3805
148	142138.4844
149	141697.7474
150	141625.8211
151	141555.7719
152	141460.901
153	141127.1192
154	141002.3921
155	140722.774
156	140656.9585
157	140231.5075
158	139767.3662
159	139703.1285
160	139287.5914
161	138733.3385
162	138670.932
163	138612.232
164	138213.7096
165	138158.0431
166	138078.3458
167	137712.7312
168	137650.101
169	137423.8127
170	137364.8797
171	137011.2701
172	136642.4206
173	136572.2604
174	136064.9015
175	136008.5896
176	135720.5051
177	135398.7126
178	135331.0219
179	135274.2079
180	134800.3964
181	134734.8952
182	134459.6606
183	133996.9888
184	133932.8909
185	133449.8217
186	133396.2545
187	133342.0517
188	133028.7008
189	132967.1791
190	132513.1032
191	132453.6296
192	132013.8995
193	131961.8646
194	131527.7366
195	131469.9619
196	131071.2175
197	131021.3831
198	130965.1077
199	130913.3121
200	130862.3958
201	130452.7687
202	130402.9485
203	130346.7971
204	130297.7789
205	130249.4224
206	130201.1528
207	129743.2613
208	129688.1212
209	129228.9356
210	129182.3155
211	128778.2403
212	128731.493
213	128685.7915
214	128303.5469
215	128248.801
216	128203.9685
217	127764.1555
218	127724.048
219	127678.8957
220	127632.5485
221	127577.7513
222	127532.6736
223	127069.8204
224	127016.9654
225	126973.2042
226	126920.7622
227	126877.3777
228	126826.0175
229	126775.328
230	126321.1239
231	126277.3066
232	126233.2305
233	126191.8654
234	126141.7277
235	125802.5918
236	125759.8329
237	125382.8892
238	125341.1679
239	125301.8802
240	125261.3847
241	125216.9244
242	125166.6413
243	125122.5758
244	125082.5168
245	125032.7238
246	124997.3806
247	124947.9976
248	124899.2779
249	124859.8076
250	124819.0624
251	124772.2424
252	124334.4424
253	124292.6736
254	124257.2345
255	124215.6534
256	124175.6688
257	124131.1571
258	124091.7068
259	124048.2152
260	124007.9796
261	123967.0184
262	123624.7014
263	123591.647
264	123555.6214
265	123513.7035
266	123478.1114
267	123439.275
268	123396.2739
269	123357.9027
270	123320.2714
271	122880.6283
272	122837.5855
273	122404.3049
274	122367.5568
275	122325.0457
276	122155.2397
277	122119.2757
278	122078.7963
279	122037.2561
280	122002.7486
281	121962.8705
282	121926.4577
283	121490.99
284	121455.4617
285	121416.0485
286	121381.392
287	120960.3217
288	120925.8246
289	120605.5467
290	120567.1182
291	120530.3719
292	120490.984
293	120456.6038
294	120422.9962
295	120387.7009
296	120352.7707
297	120319.5355
298	120290.2297
299	119898.4411
300	119861.9903
301	119559.261
302	119177.1843
303	118799.7388
304	118405.6525
305	118372.8715
306	118337.4057
307	118309.7844
308	118037.2832
309	118005.6278
310	117966.7824
311	117559.0035
312	117524.0792
313	117486.1502
314	117153.1572
315	117121.8286
316	116771.5781
317	116401.541
318	116367.4086
319	116333.9312
320	116303.5517
321	116272.768
322	116242.6454
323	115847.6611
324	115817.4483
325	115781.4033
326	115751.7851
327	115722.8061
328	115368.7712
329	115335.1162
330	115306.8841
331	115274.224
332	115242.4297
333	115212.2783
334	114880.9654
335	114849.3767
336	114813.942
337	114779.1589
338	114745.2885
339	114713.7657
340	114683.6834
341	114652.8628
342	114624.2662
343	114594.0985
344	114564.2769
345	114531.0874
346	114501.5507
347	114472.5515
348	114443.7012
349	114415.8348
350	114388.3478
351	114361.1175
352	114330.3878
353	114300.8707
354	114273.8253
355	114246.1464
356	114214.1244
357	114189.1384
358	113818.1294
359	113790.7374
360	113762.6492
361	113735.824
362	113413.7763
363	113383.3294
364	113066.644
365	113037.0985
366	113010.1206
367	112982.9743
368	112740.4824
369	112712.7134
370	112687.3457
371	112660.5886
372	112421.8879
373	112396.8636
374	112369.4785
375	112340.3038
376	111989.1822
377	111961.4289
378	111935.1703
379	111910.7474
380	111885.178
381	111858.7298
382	111505.905
383	111287.3973
384	111261.9896
385	110963.4388
386	110936.537
387	110599.1178
388	110271.0096
389	110045.7497
390	109723.5452
391	109448.1433
392	109126.5193
393	109102.6652
394	108937.5708
395	108914.6041
396	108891.2951
397	108861.9477
398	108836.214
399	108569.2644
400	108260.6705
401	108233.3132
402	108210.2998
403	108185.1554
404	107972.6842
405	107950.9959
406	107694.0092
407	107665.8417
408	107641.73
409	107616.6535
410	107594.2185
411	107304.2848
412	107281.8273
413	106999.1394
414	106980.6447
415	106960.2275
416	106936.6458
417	106914.7091
418	106886.2941
419	106584.1237
420	106309.9186
421	106283.929
422	106263.0985
423	106240.7286
424	106221.5008
425	106193.1966
426	105888.5516
427	105865.8246
428	105838.3625
429	105813.8738
430	105785.9159
431	105759.1654
432	105737.1593
433	105712.6241
434	105690.9573
435	105665.4943
436	105643.9531
437	105624.4792
438	105357.3179
439	105337.1148
440	105317.1977
441	105296.5722
442	105271.6435
443	105249.2194
444	105228.474
445	105207.5628
446	105184.2987
447	105156.9269
448	105138.8555
449	105114.3119
450	105094.9106
451	105073.6359
452	105054.0966
453	105026.7862
454	105006.539
455	104982.2943
456	104958.433
457	104936.4348
458	104916.2824
459	104896.9521
460	104878.1244
461	104852.8221
462	104833.8692
463	104537.5172
464	104514.3501
465	104486.839
466	104197.2868
467	104173.5205
468	104155.1568
469	104132.1772
470	104110.941
471	104087.4104
472	104070.6642
473	104049.6144
474	104031.208
475	104007.1486
476	103757.3916
477	103739.8587
478	103716.3415
479	103697.2629
480	103671.7845
481	103424.7984
482	103398.458
483	103381.1687
484	103360.2255
485	103080.348
486	103057.5471
487	103036.9178
488	103004.3039
489	102977.4627
490	102957.3285
491	102932.4108
492	102913.1634
