author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/305340828/;Голицыно;sale;flat;3;6;3;84.6;59900000;1910;-1;-1;-1;-1;-1;11,7 м²;+79175677964;Пресненский;Трехпрудный переулок;11/13С1;Маяковская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298214249/;Голицыно;sale;flat;5;5;-1;261.4;370000000;2021;-1;-1;-1;-1;-1;20 м²;+79660272578;Замоскворечье;Большая Татарская ;вл13с16;Новокузнецкая;Bogenhouse
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/307869945/;Голицыно;sale;flat;19;25;1;36.3;5300000;2020;-1;-1;-1;-1;18 м²;11 м²;+79647911582;; Яганова;9;Щёлковская;Пехра
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303538615/;Голицыно;sale;flat;2;6;3;133.6;65000000;2003;-1;-1;-1;-1;66,2 м²;18,2 м²;+79858630545;Крылатское;Осенняя ;25К2;Крылатское;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307541830/;Голицыно;sale;flat;5;6;-1;418.9;1625883407;-1;-1;-1;-1;-1;-1;-1;+79855848218;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301078527/;Голицыно;sale;flat;4;5;1;47.0;41600000;2021;-1;-1;-1;-1;13 м²;16 м²;+79683696788;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306835123/;Голицыно;sale;flat;4;8;5;117.0;58500000;1939;-1;-1;-1;-1;-1;10 м²;+79672086536;Пресненский;Большая Садовая ;3С1;Маяковская;
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308888847/;Голицыно;sale;flat;4;21;-1;54.0;59000000;-1;-1;-1;-1;-1;-1;25 м²;+79057122519;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306666399/;Голицыно;sale;flat;7;21;4;126.3;57000000;-1;-1;-1;-1;-1;-1;19 м²;+79104833462;Раменки; Лобачевского;114с1;Аминьевская;Событие
ФСК Агент;real_estate_agent;https://balashikha.cian.ru/sale/flat/304685813/;Голицыно;sale;flat;13;20;1;28.1;4700000;2019;-1;-1;-1;-1;16,6 м²;5 м²;+79623682283;; Бояринова;9;Ольгино;Новоград Павлино
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/302341293/;Голицыно;sale;flat;5;5;5;250.0;130000000;1914;-1;-1;-1;-1;200 м²;30 м²;+79647161966;Пресненский; Спиридоновка;27/24;Баррикадная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306268386/;Голицыно;sale;flat;66;79;3;113.0;150000000;2019;-1;-1;-1;-1;30 м²;34 м²;+79660504300;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308255881/;Голицыно;sale;flat;13;16;3;65.0;26000000;1987;-1;-1;-1;-1;-1;12 м²;+79645640840;Кунцево;Кунцевская ;13/6;Рабочий посёлок;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306445358/;Голицыно;sale;flat;22;22;5;200.0;64900000;2015;-1;-1;-1;-1;-1;25 м²;+79175745176;Кунцево; Академика Павлова;24;Молодёжная;АкадемикА
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300891173/;Голицыно;sale;flat;34;57;4;180.0;201794039;2007;-1;-1;-1;-1;-1;15 м²;+79684858420;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307135110/;Голицыно;sale;flat;9;20;3;64.56;26640000;2024;-1;-1;-1;Чистовая;32,8 м²;12 м²;+79636622623;Даниловский;Автозаводская ;26;Тульская;FORST
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Голицыно;sale;flat;4;8;2;64.0;39900000;-1;-1;-1;-1;-1;39 м²;10 м²;+79670580817;Тверской;Благовещенский переулок;5;Маяковская;
